date_key,date,division_key,division,series_type,cases_actual,cases_forecast,cases_forecast_lower,cases_forecast_upper,forecast_model,forecast_generated_on
20260404,2026-04-04,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260405,2026-04-05,chattogram,Chattogram,Actual,230.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260406,2026-04-06,chattogram,Chattogram,Actual,171.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260407,2026-04-07,chattogram,Chattogram,Actual,245.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260408,2026-04-08,chattogram,Chattogram,Actual,145.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260409,2026-04-09,chattogram,Chattogram,Actual,126.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260410,2026-04-10,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260411,2026-04-11,chattogram,Chattogram,Actual,99.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260412,2026-04-12,chattogram,Chattogram,Actual,112.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260413,2026-04-13,chattogram,Chattogram,Actual,121.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260414,2026-04-14,chattogram,Chattogram,Actual,109.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260415,2026-04-15,chattogram,Chattogram,Actual,102.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260416,2026-04-16,chattogram,Chattogram,Actual,140.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260417,2026-04-17,chattogram,Chattogram,Actual,133.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260418,2026-04-18,chattogram,Chattogram,Actual,92.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260419,2026-04-19,chattogram,Chattogram,Actual,154.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260420,2026-04-20,chattogram,Chattogram,Actual,157.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260421,2026-04-21,chattogram,Chattogram,Actual,162.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260422,2026-04-22,chattogram,Chattogram,Actual,192.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260423,2026-04-23,chattogram,Chattogram,Actual,168.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260424,2026-04-24,chattogram,Chattogram,Actual,165.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260425,2026-04-25,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260426,2026-04-26,chattogram,Chattogram,Actual,178.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260427,2026-04-27,chattogram,Chattogram,Actual,197.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260428,2026-04-28,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260429,2026-04-29,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260430,2026-04-30,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260501,2026-05-01,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260502,2026-05-02,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260503,2026-05-03,chattogram,Chattogram,Actual,156.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260504,2026-05-04,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260505,2026-05-05,chattogram,Chattogram,Actual,197.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260506,2026-05-06,chattogram,Chattogram,Actual,200.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260507,2026-05-07,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260508,2026-05-08,chattogram,Chattogram,Actual,212.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260509,2026-05-09,chattogram,Chattogram,Actual,160.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
20260510,2026-05-10,chattogram,Chattogram,Actual,0.0,0.0,0.0,0.0,Actual uploaded/modeled data,2026-05-16
