date_key,date,division_key,division,population_2022_census,area_km2,population_density_per_km2,latitude,longitude,cases_raw_extracted,metric_a_raw_extracted,metric_b_raw_extracted,cases_modeled_daily,metric_b_modeled_daily,cases_modeled_cumulative,cases_daily_per_million,cases_cumulative_per_million,cases_rolling_7d,cases_rolling_7d_avg,vax_coverage_avg,vax_coverage_min,vax_coverage_max,vax_coverage_capped_100,coverage_gap_to_95_pct_points,coverage_status,risk_score_0_100,risk_band,risk_note,case_metric_interpretation,has_uploaded_case_row,has_uploaded_vax_row,zero_or_blank_case_extract_flag,early_cumulative_phase_flag,coverage_gt_100_flag,vax_duplicate_reading_flag,case_source_file,vax_source_files
20260404,2026-04-04,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,True,False,False,No uploaded source row,No uploaded source row
20260405,2026-04-05,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,True,False,False,No uploaded source row,No uploaded source row
20260406,2026-04-06,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,True,False,False,No uploaded source row,No uploaded source row
20260407,2026-04-07,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,True,False,False,No uploaded source row,No uploaded source row
20260408,2026-04-08,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,True,False,False,No uploaded source row,No uploaded source row
20260409,2026-04-09,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260410,2026-04-10,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260411,2026-04-11,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260412,2026-04-12,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260413,2026-04-13,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260414,2026-04-14,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260415,2026-04-15,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260416,2026-04-16,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260417,2026-04-17,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260418,2026-04-18,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260419,2026-04-19,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260420,2026-04-20,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260421,2026-04-21,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260422,2026-04-22,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260423,2026-04-23,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260424,2026-04-24,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260425,2026-04-25,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260426,2026-04-26,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260427,2026-04-27,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260428,2026-04-28,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260429,2026-04-29,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260430,2026-04-30,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260501,2026-05-01,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260502,2026-05-02,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260503,2026-05-03,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260504,2026-05-04,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
20260505,2026-05-05,barishal,Barishal,9100102,13297,684.3725652402798,22.7,90.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,No data,0.0,No Data,No uploaded case rows; add DGHS/WHO/UNICEF subnational outbreak feed,No uploaded case row for this division,False,False,False,False,False,False,No uploaded source row,No uploaded source row
