comment_id,author_handle,comment,category,category_key,classification_confidence
1,@tanzinrahmanripon2265,আল্লাহ আপনি সহায়ক হন সবার জন্য 🤲,religious prayer or general grief,religious_prayer_or_general_grief,42.21
2,@AyeshaAktar-v4z,এই পরিস্থিতিী জন্য দ্বায়ী সেনাপ্রধান আর ইউনুস।,blaming politicians or the government,blaming_politicians_or_the_government,57.25
3,@Mubarek-y9k,এ মনে হয় পড়াশোনা না করেই মন্ত্রী হয়েছে,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,44.55
4,@Mohammed-wm8lt,২ বছর ধরে হামের টিকা দেয়া হ হয়নি,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,40.04
5,@cvggjkfsxvbn,"মন্ত্রী সত্য কথা বলছে। ৮ বছরের তথ্য নুনুস গ্যাং, নাহিদ ও আসিফ উপদেষ্টা থাকা অবস্থায় সচিবালয়ে আগুন দিয়ে পুড়িয়ে দেয়া হয়েছে। কুকুর পুড়ে মারা গেছে নাটকটা মনে আছে?",blaming politicians or the government,blaming_politicians_or_the_government,50.14
6,@hossain7543,তোরা হইলি বড় চোর বিগত ২ বছর আর এই বছর নাই কেন উত্তর দেও,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,74.54
7,@MdAbdullah-w2j7r,আল্লাহ সুস্থ করে দাও নিস্পাপ শিশুদেরকে,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,37.94
8,@village_life_story_officials,আল্লাহ তুমি সবাই কে হেফাজত করুন ফি আমানিল্লাহ্ ❤❤❤,religious prayer or general grief,religious_prayer_or_general_grief,42.46
9,@tulisiamsajim,সবাই দোয়া করেন আমার সন্তান যেনো সুস্থ থাকে🥺🥺🥺🥺,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,50.4
10,@GAUSEMINA-z7d,❤❤❤❤❤ হে আল্লাহ তুমি আমাদের সবাই কে হিফাজত করিও মালিক আমিন আমিন আমিন আমিন আমিন আমিন আমিন ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,blaming politicians or the government,blaming_politicians_or_the_government,34.92
11,@JahagirYoho,আললাহু মাপ করুন,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,26.76
12,@urmi1342,কেন হচ্ছে কি কারনে হচ্ছে রোগ গুলো নতুন করে সেটা খুঁজে বের করুন এটা হামের টিকা না দেওয়ার কারণে না অন্য কোন কারণ হতে পারে,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,64.33
13,@urmi1342,কবে কোথায় হামের টিকা দেওয়া হয়নি আমরা তো আমাদের বাচ্চাদের ডিসি আর আমরা যখন দিতে গেছি তখন তো হাজার হাজার মানুষকে দেখছি যে বাচ্চাদের নিয়ে আসছে হামের টিকা দেওয়ার জন্য মানুষ মন্তব্য করার আগে একবারও ভাবে না আপনার বাচ্চাকে আপনি দেননি আমি টিকা আমরা তো সাধারণ জনগণ বলতেছি,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,34.01
14,@KawaarMiya-d9z1c,শেরপুর জেলা তো শ্রীবরদী থানার কিছু কিছু বাচ্চাদের এই অবস্থা আছে একটু খোঁজ নিয়ে দেখুন এমপি মহোদয়,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,41.62
15,@ImranHossain-nh3qp,আসলে কি হামের টিকা দিয়েছে না জন্য কোনো টিকা দিয়েছে  হামের টিকা  বলে চালিয়ে দিয়েছে,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,45.94
16,@jiniaafroz-c9k,"৮ বছর টীকা দেওয়া হয়নি এটা ভুল তথ্য,, আমার মেয়েকে দু&#39;বছর আগে দিয়েছি","vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,56.96
17,@MdkamalislamRumana,বরগুনা  আমাদের  বাড়ি?  আমার বোনের ছেলের  মারা গেছে,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,37.45
18,@S.JCHOWDHURY,আমারও এটা হয়েছে কিন্তু অতটাও সমস্যা হচ্ছে না <br>আমি টিকা দিইনি এটা আমার সমস্যা,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,33.39
19,@JannatulMahia-v1t,"ভোটের 3আগে ও আমি আমার বাচ্চাকে টিকা দিছি,,,",seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,49.65
20,@mohsin8698,"<a href=""https://www.youtube.com/watch?v=XBsDAOvRhR4"">https://youtu.be/XBsDAOvRhR4?si=sWK-ddnV0QZ2UR-_</a> হাম প্রতিরোধে নিয়মিত রুটিন টিকার বাইরে ও মাঝে মাঝে হামের টিকা ক্যাম্পেইন এ ও শিশুর হাম রুবেলা টিকা দিন।",seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,42.18
21,@sultanaafrin4308,"একজন করে গেছে অকাজ, আরেকজন করবে দোষারোপ৷ <br>অসহায় মা বাবা। 😔","vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,92.92
22,@MdMamun-bi8bz,সুদখোর ইউনুস কে এখনো বিচারের আওতায় আনা হচ্ছে না কেন জাতি জানতে চায়।,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,59.74
23,@raselduary649,সুদখোর ইউনুস দেশটাকে জাহান্নামে পরিণত করেছে। যার কারণ আজ শিশুরা  টিকার অবহেলায় মারা যাচ্ছে।আইনের আওতায়  দূরত্ব তদন্ত করে বিচার করা হোক,reporting hospital admission or death,reporting_hospital_admission_or_death,45.73
24,@rubelrahmanbabu6875,সুদ সরকার দেশ টা জাহান্নাম বানিয়ে দিয়ে গেছে....!!!!!. আর এই সরকার সেটা চলমান রেখেছে....!!!!,reporting hospital admission or death,reporting_hospital_admission_or_death,37.67
25,@etaushy5865,"সুশীল সমাজ এখন রাস্তায় নামে না কেনো? হাসিনার জন্য নামছিলো, কারণ সার্থ। এখন শিশু মরে, কার কি? এখানে সার্থ নাই। তাই সবাই চুপ",reporting hospital admission or death,reporting_hospital_admission_or_death,28.54
26,@rengoku-ultimate,"যার টিকা নিয়েছে তাদেরও হচ্ছে, তারা কাকে দোষ দিবে?  ইউনুসকে?? করোনার মতোন নতুন রোগ কিনা দেখুন।",seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,47.9
27,@HasanSheikh-p2o,দেশের  আইন নাই,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,46.93
28,@bluesky441,"১ মে ২০২৬ এ ডেইলি স্টারের রিপোর্টে বলা হয়েছে ইউনিসেফের দেশীয় প্রতিনিধি রানা ফ্লাওয়ার্স আগেই সতর্ক ও অনুরোধ করেছিলেন অন্তর্বর্তী সরকার যেন টিকা ক্রয় বন্ধ না করে কিন্তু উপদেষ্টা নূরজাহান বেগম সেটা কর্ণপাত করেনি। আজকে দেশে হাম, জলাতঙ্ক ইত্যাদি প্রানঘাতক রোগের টিকার অভাব যেগুলো ফ্রিতে পাওয়া যেত, আর নেই। ইউনূস গ্রামীন ব্যাংকের এমডি পদ ব্যবহার করে পনেরো বছর লুটতে পারেনাই তাই ক্ষমতা পেয়ে দেড় বছর এমনই লুটেছে যে টিকার টাকাও ছাড়েনি। আমি ছাত্র হিসেবে নিজে আন্দোলন করেও বলছি ইউনূসের নামে হত্যা মামলা ও বিচার হওয়া দরকার। বাংলাদেশ যাকে নিয়ে গর্ব করতো আজ তাকে নরপিশাচ হিসেবে ঘৃণা করে। কতটা বেহায়া। দেশ চালাবার কোনো যোগ্যতা নেই, একটার পর একটা দেশের ক্ষতি করেছে তাও পাঁচ বছর গদিতে থাকার খায়েশ! আমার সন্দেহ কতখানি ঠিক তা জানিনা তবে ইনকিলাব মঞ্চের হাদীকে ইউনুস খুন করে,অরাজকতা সৃষ্টি করে নির্বাচন পেছাবার চক্রান্ত করছিল কিনা কে জানে? ইউনূসের পেটে তো দুষ্টবুদ্ধি। সে তো আগাগোড়া একটা খারাপ লোক। যাই হোক রিপোর্টে এটাও আছে এপ্রিলে বিএনপি সরকার ফের ইউনিসেফের সাথে মিলে টিকা আনা শুরু করেছে।",blaming politicians or the government,blaming_politicians_or_the_government,28.56
29,@aslihanomar,তাদের ভুলের খেসারত কেনো মা বাবাকে ভুক্তে হবে,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,59.83
30,@sumonchowdhury7906,NCP সব দোষ তাদের কে বিচারের আওতায় আনা হোক,blaming politicians or the government,blaming_politicians_or_the_government,47.76
31,@nirmolridoy4997,"আমি টিকাদান কারী,আমি তো হামের টিকা বন্ধ থাকতে দেখিনি,অন্যান্য টিকা বন্ধ থাকে মাঝে মাঝে।কিন্তু হামের টিকা তো সরবরাহ ছিল।","vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,28.68
32,@MdfazlulBari-q9v,অন্তবতী সরকারের বিরুদ্ধে  মতামত প্রদান করতে বর্তমান সরকার অনিচ্ছুক 😢,blaming politicians or the government,blaming_politicians_or_the_government,50.08
33,@Md.OliUllah-p7x5z,এবার অনতরবরতিকালিন সরকারকে গ্রেপতার করা হউক।,blaming politicians or the government,blaming_politicians_or_the_government,76.47
34,@hasan28914,অতীত ভুলে যাও বাবুরা 😂😂😂😂😂,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,34.02
35,@msmitu6326,সরকার নিরব বলে মনে হয়।,blaming politicians or the government,blaming_politicians_or_the_government,39.59
36,@MdSurug-x5y7u,আমার তো ৬ বছরের একটি ছেলে আছে খুব ভয় লাগছে,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,37.12
37,@SuperDiodiodio,সুন্দর উপস্থাপনা। উপস্থিত বুদ্ধিসম্পন্ন বোঝা যাচ্ছে।,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,35.77
38,@atmbadruzzaman3529,"আমি ড. বদরুজ্জামান,  ভ্যাক্সিন সায়েন্টিস্ট।  কাজ করছি তাইওয়ানের ন্যাশনাল হেলথ রিসার্চ ইনস্টিটিউটের ভ্যাক্সিনোলজি ডিপার্টমেন্টে।  আমি বেশ কিছু পয়েন্টে ডা. মান্নান সাহেবের কথায় বাড়তি পয়েন্ট যুক্ত করতে চাই। আনফরচুনেটলি উনার তথ্যগুলো খুব বেশি আপডেটেড/গভীর না।",blaming politicians or the government,blaming_politicians_or_the_government,25.82
39,@dmgod111,বাচ্চা স্কুলে পাঠাবো না কারন স্কুলের বাচ্চাদের বেশীরভাগ পরিবারে নবজাতক থেকে শুরু করে ১ /২ বছরের বাচ্চা রয়েছে।বাসায় বসে পড়াবো।,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,34.53
40,@mukulgreen,আমরা স্কুলকে বন্ধ দিয়ে দিয়েছি!,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,54.99
41,@IslamIsPerfect2026,আমার ভাগ্নির হাম রোগ হয়েছে সবাই দোয়া করবেন 🤲🤲,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,39.88
42,@shamimahmed9191,দেশের বাহির থেকেও কি কোন ভ্যাক্সিন আনা সম্ভব হচ্ছে না?,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,38.17
43,@MohmadMohmad-y2u,অতি.তারাতারি.হামের.টিকা.জরুরি.দরকার,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,57.44
44,@themaskaraltd9235,হে আল্লাহ এই বিপদ থেকে আমাদের সকলকে হেফাজত কর আমিন,religious prayer or general grief,religious_prayer_or_general_grief,61.71
45,@Jui-s7c,আল্লাহ সাহায্যে করুন,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,44.52
46,@Samim-x6v,সব দোষ হুজুর গুলোর ওরা টিকা নিতে বারণ করে,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,33.68
47,@MDSAHADAT-m6f,আল্লাহ তুমি আমার সন্তান সহ সকল বাচ্চাদের সুস্থ রেখো আমিন,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,47.74
48,@MdMostofa-oh4yn,আমার এক ভাতিজা শেষ,"vaccine hesitancy, conspiracy, or doubting the vaccine",vaccine_hesitancy_conspiracy_or_doubting_the_vaccine,46.81
49,@MdkamalislamRumana,০ থেকে  ৫ মাসের  তাতের জন্য  টিকার কি কোন অবস্থা আছে,seeking medical advice or sharing symptoms,seeking_medical_advice_or_sharing_symptoms,51.84
