source_name,provider,data_type,grain,join_key,validation_level,dashboard_use,url_or_file,refresh_method
Uploaded Kaggle-derived measles_epi_data.csv,User upload / Kaggle-derived,Outbreak cases/death-like metrics,Date x Division,date + division,Needs validation against original DGHS/HEOC PDFs; metric labels ambiguous,"Core time series, incidence, risk, forecast",measles_epi_data.csv,Replace with latest downloaded CSV; then run ETL
Uploaded Kaggle-derived measles_vax_data.csv,User upload / Kaggle-derived,Reported campaign coverage percentages,Date x Division with duplicate readings,date + division,Needs validation; values >100% indicate administrative denominator/duplicate/extraction issue,"Vaccination progress, coverage gap, risk component",measles_vax_data.csv,Replace with latest downloaded CSV; then run ETL
Uploaded NLP categorized comments,User upload,Public/social reaction categories,Comment,No geographic/date key in uploaded file,Classification confidence varies; use aggregate signal only,"Community concern, vaccine hesitancy, medical advice demand",nlp_categorized_comments.csv,Append newly classified comments
"WHO Disease Outbreak News: Measles - Bangladesh, 23 Apr 2026",WHO,Official outbreak narrative/case totals/risk assessment,National and selected division narrative,country/division/date as text reference,High; official WHO DON based on Bangladesh IHR/DGHS reporting,"Research context, cause labels, national benchmark annotations",https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON598,Manual update when WHO posts DON/situation updates
"WHO Bangladesh emergency MR campaign release, 5 Apr 2026",WHO Bangladesh / UNICEF / Gavi / Government,Campaign scope and target population,Campaign phase / national,campaign_date,High,Campaign timeline annotations and target metrics,https://www.who.int/bangladesh/news/detail/05-04-2026-bangladesh-launches-emergency-measles-rubella-campaign-with-unicef--who-and-gavi-to-protect-over-1.2-million-children,Manual/WHO website monitoring
"WHO SEARO response update, 15 Apr 2026",WHO South-East Asia Region,"Response status, incidence, probable causes",National + selected division narrative,country/date,High,"Cause/risk annotations: immunity gaps, mobility, routine immunization decline, supply constraints",https://www.who.int/southeastasia/news/detail/15-04-2026-response-measlesBN,Manual/WHO website monitoring
"UNICEF Bangladesh Measles Outbreak Situation Report #1, 8 Apr 2026",UNICEF,"Humanitarian situation report, health facility strain, vaccination/stock context",National + facilities narrative,country/date,High,"Hospital strain, zero-dose/partially vaccinated share, stock/funding context",https://www.unicef.org/media/179846/file/Bangladesh-Humanitarian-Situation-Report-No.1%28Measles-Outbreak%29-8-April-2026.pdf.pdf,Manual/UNICEF situation report updates
WHO/UNICEF Estimates of National Immunization Coverage (WUENIC),WHO + UNICEF,National MCV1/MCV2 coverage trends,Country x Year x antigen/dose,country + year,High; world's largest immunization coverage trend dataset,"Long-run vaccination trend, herd immunity context, benchmark 95%","https://immunizationdata.who.int/ and https://sdmx.data.unicef.org/ws/public/sdmxapi/rest/data/UNICEF,IMMUNISATION,1.0/.IM_MCV1..?format=csv",Use UNICEF SDMX CSV/API or WHO Data portal export
Routine EPI Coverage Evaluation Survey 2023,Government of Bangladesh / EPI / SDG portal,"Survey-based MR2 coverage, dropout, reasons for never/partial vaccination",National/division/city corporation survey tables,division/survey year,"High/official survey, but PDF extraction needed",Probable cause page and baseline subnational coverage,https://www.sdg.gov.bd/uploads/indicator-data/EPI%20CES%202023%20-%20First%2028%20pages.pdf,Extract tables from full CES PDF
Bangladesh Population and Housing Census 2022,Bangladesh Bureau of Statistics; reported division totals,Population by division/district,Division/District,division,High if sourced from BBS/HDX; current pack uses published census totals reported by Daily Sun,"Cases per million, denominators, maps, density",https://data.humdata.org/dataset/populationa-and-housing-census-dataset and https://www.daily-sun.com/post/634339/Population-Census-2022%3A-How-many-people-live-in-your-district,Download HDX/BBS CSV and replace dim_division
Bangladesh administrative boundaries COD-AB,HDX / humanitarian community,Admin boundary geometries,ADM1-ADM3,division/district admin code,High for mapping boundaries,Shape map / Azure map / drilldown map,https://data.humdata.org/dataset/cod-ab-bgd,Download GeoJSON/shapefile from HDX; load into Power BI Shape Map
WorldPop Bangladesh age-sex structures 2026,WorldPop,High-resolution age/sex population estimates,Raster grid; aggregate to division/district,spatial join to admin boundaries,High for modeled population denominator,"6-59 month target denominator, zero-dose risk denominator",https://stac.worldpop.org/collections/BGD/items/bgd_agesex_2026_CN_100m_R2025A_v1,Download GeoTIFF/STAC assets; aggregate by admin boundaries outside Power BI
World Bank WDI / Population estimates and projections,World Bank / UN Population Division,Macro and age indicators,Country x Year,country + year,High,"Context, child population, health system indicators",https://data.worldbank.org/country/bangladesh and https://databank.worldbank.org/source/population-estimates-and-projections,World Bank API or CSV download
